year,imd10,sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
2002,10,m,62,9,8,4,3,1,3,2,2,2,4,4,2,4,4,9,10,11,14,10,7,20,14,16,16,13,10,11,19,7,23,14,16,19,25,20,21,24,32,21,30,34,29,37,47,55,52,56,60,76,78,73,85,116,134,138,149,141,188,181,158,173,209,196,221,271,269,287,331,389,396,458,502,503,542
2003,1,m,404,20,25,18,8,5,7,7,7,3,4,5,6,5,14,10,26,19,34,34,33,44,38,37,46,46,40,39,58,51,70,72,76,77,89,81,95,102,90,106,111,130,128,143,137,141,154,178,170,184,222,243,260,254,269,313,400,318,347,394,430,418,406,521,541,550,577,628,626,680,640,788,788,788,895
2003,2,m,294,26,12,11,8,5,5,3,6,6,4,2,5,7,3,6,17,25,32,20,35,33,30,42,28,31,35,37,36,44,48,56,69,70,70,66,71,70,78,80,83,96,90,116,103,105,119,131,144,133,178,167,172,209,231,265,294,284,269,318,332,312,312,383,432,421,475,544,529,547,553,671,677,760,772
2003,3,m,218,6,4,8,4,7,6,1,2,3,0,8,4,6,10,7,11,17,26,24,24,18,35,30,22,35,26,31,33,50,44,67,58,46,63,68,72,76,83,73,81,72,87,103,93,90,104,108,118,131,153,157,170,183,212,246,236,229,275,290,292,305,307,347,378,430,419,431,521,508,525,586,687,718,720
2003,4,m,171,14,4,6,6,3,7,3,5,7,7,0,3,6,5,10,14,15,27,20,33,33,28,32,31,18,31,29,37,32,45,35,41,43,44,49,40,63,56,64,77,75,70,93,71,84,89,102,117,115,122,125,151,160,175,204,233,248,225,263,272,280,271,324,367,414,354,426,437,458,551,603,618,693,747
2003,5,m,124,8,3,4,4,3,4,3,3,4,1,5,8,3,8,11,13,9,20,10,30,16,30,19,23,23,17,19,20,31,35,20,38,39,27,40,50,36,52,62,59,52,73,60,74,69,83,92,107,110,102,120,129,146,157,219,242,231,239,231,293,275,298,270,343,341,397,406,446,491,497,593,616,663,672
2003,6,m,128,6,3,1,4,3,2,7,5,7,3,4,7,9,6,10,8,10,27,29,18,18,27,20,24,21,25,18,22,23,19,32,25,37,32,34,45,44,41,41,56,60,62,53,60,70,78,71,88,87,116,111,114,130,169,199,216,202,197,224,254,268,265,298,336,320,414,453,422,487,504,529,570,605,710
2003,7,m,109,6,6,2,2,3,3,2,2,4,1,2,7,11,4,7,6,13,19,15,25,25,12,17,11,18,18,20,13,20,18,23,23,27,36,44,26,37,36,35,51,53,61,57,52,67,70,82,69,99,86,101,100,125,160,186,208,214,205,241,223,246,270,273,313,347,333,388,430,429,466,521,605,621,702
2003,8,m,95,4,5,3,3,5,2,3,2,2,0,1,4,3,3,8,6,24,18,16,18,12,22,19,16,20,16,4,28,21,26,34,18,23,25,25,22,44,36,36,35,57,39,47,58,48,68,72,69,63,93,87,97,122,149,175,185,169,188,203,232,203,229,262,279,288,349,351,437,399,455,487,516,575,619
2003,9,m,104,8,5,4,4,3,3,0,1,2,4,5,3,4,8,5,5,14,16,21,18,21,19,21,13,21,13,12,14,25,22,24,25,22,25,21,32,33,22,43,39,31,48,46,43,41,57,55,58,83,76,86,96,108,146,156,180,185,180,181,236,201,226,231,275,289,324,357,377,401,426,474,518,570,583
